,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Lifehacker.com'}",Emily Price,How to Watch Tonight's MST3K Live Riff-Along,"Mystery Science Theater 3000 was supposed to be in the middle of a live tour right now. Since the pandemic has postponed that, along with pretty much everything else, for the time being, the creators have decided to take things online.Read more...",https://lifehacker.com/how-to-watch-tonights-mst3k-live-riff-along-1843205827,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/bq2mci5enqtup03ngqfe.jpg",2020-05-03T15:00:00Z,"Mystery Science Theater 3000 was supposed to be in the middle of a live tour right now. Since the pandemic has postponed that, along with pretty much everything else, for the time being, the creators… [+920 chars]"
1,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Walter Thompson,COVID-19 shows we need Universal Basic Internet now,"Just as the electrification of America brought the nation out of the Great Depression, the Wi-Fi-cation of the nation can ease us out of the COVID-19 collapse.",http://techcrunch.com/2020/05/14/covid-19-shows-we-need-universal-basic-internet-now/,https://techcrunch.com/wp-content/uploads/2020/05/GettyImages-667221600.jpg?w=470,2020-05-14T15:06:54Z,Theres a lot of chatter around what kind of stimulus is needed to save the economy and ensure financially vulnerable Americans can retain some degree of stability. Talks have included everything from… [+6237 chars]
2,"{'id': None, 'name': 'Hipertextual'}",Aglaia Berlutti,"Porno gay, una librería y unos judíos ancianos: la insólita combinación de ‘Circus of Book’","Con su fachada color rosa y apariencia inocente, nadie podría sospechar que la librería de Karen y Barry Mason es algo más que un reducto de paz para el lector ocasional: el documental Circus of Book relata de manera amable y divertida como un negocio familia…",https://hipertextual.com/2020/05/circus-of-book,https://hipertextual.com/files/2020/05/hipertextual-porno-gay-libreria-y-unos-judios-ancianos-insolita-combinacion-circus-of-book-2020741944.jpg,2020-05-26T08:06:38Z,"El documental Circus of Books, de la cineasta Rachel Mason, comienza con una amable mirada a la cocina familiar. Las imágenes son borrosas, hay risas y bromas privadas y al final un corte a negro, qu… [+7449 chars]"
3,"{'id': None, 'name': 'Ctvnews.ca'}",The Canadian Press,Quebec government throws faltering Cirque du Soleil a US$200-million lifeline - CTV News Montreal,"<ol><li>Quebec government throws faltering Cirque du Soleil a US$200-million lifeline  CTV News Montreal
</li><li>Quebec pledges up to $200M US to support Cirque du Soleil  CBC.ca
</li><li>Quebec to loan up to US$200 million to struggling Cirque du Soleil -…",https://montreal.ctvnews.ca/quebec-government-throws-faltering-cirque-du-soleil-a-us-200-million-lifeline-1.4955425,https://www.ctvnews.ca/polopoly_fs/1.4598044.1568774497!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2020-05-26T18:30:56Z,"MONTREAL -- 
The Quebec government is coming to the rescue of Cirque du Soleil, pledging to loan up to US$200 million to support the live entertainment giant whose operations remain paralyzed due to… [+1278 chars]"
4,"{'id': None, 'name': 'BBC News'}",https://www.facebook.com/bbcnews,The high-flying circus firm for pop and rock stars,How friends Billy Alwen and Julian Bracey built circus performance firm Cirque Bijou.,https://www.bbc.com/news/business-52402199,https://ichef.bbci.co.uk/news/1024/branded_news/17117/production/_112178449_charlestherobotmuse2013photohanspetervanvelthoven.jpg,2020-05-10T23:01:32Z,"Image copyrightHans Peter Van VelthovenImage caption
 Cirque Bijou made a giant robot for rock band Muse
The BBC's weekly The Boss series profiles different business leaders from around the world. … [+6302 chars]"
5,"{'id': None, 'name': 'Theguardian.comtravel'}",Shane Hickey and Joanna Partridge,UK holiday parks and attractions gear up to open for summer,Strict new rules on social distancing to combat Covid-19 will be in place at tourist sites Coronavirus – latest updatesSee all our coronavirus coverageHoliday parks and tourism attractions across the UK are putting in place plans to reopen for the summer – wi…,https://amp.theguardian.comtravel/2020/may/17/holiday-parks-and-attractions-in-uk-gear-up-to-open-for-summer-holidays,https://i.guim.co.uk/img/media/a36f1944600fa5acc3f6445e3a703573dde6085c/0_199_5888_3533/master/5888.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=8678b86a91347cc680a08781566ac04a,2020-05-17T06:45:52Z,"Holiday parks and tourism attractions across the UK are putting in place plans to reopen for the summer with new rules on social distancing.
One of the largest holiday park companies, Haven, will re… [+2431 chars]"
6,"{'id': None, 'name': 'Fashionista'}",Maura Brannigan,Wolf Circus Makes the Kind of Jewelry That Instagram Eats Up,"In 2016, demi-fine jewelry brand Wolf Circus had already been in business for five years. Though based in Vancouver, the line — which toes a curious line between fully eccentric and pristinely minimalistic — hadn't yet ""arrived,"" so to speak, here in the U.S.…",https://fashionista.com/2020/05/wolf-circus-jewelry-brand-earrings-necklace-rings,https://fashionista.com/.image/t_share/MTcyMjQyMjM1Nzk3MDIxOTA4/wolf-circus-jewelry-brand-earrings-necklace-rings.jpg,2020-05-13T12:00:00Z,"In 2016, demi-fine jewelry brand Wolf Circus had already been in business for five years. Though based in Vancouver, the line — which toes a curious line between fully eccentric and pristinely minima… [+9289 chars]"
7,"{'id': None, 'name': 'Food52.com'}",Kristen Miglore,A Genius Shortcut to Weeknight Ragù,"Every week in Genius Recipes—often with your help!—Food52 Creative Director and lifelong Genius-hunter Kristen Miglore is unearthing recipes that will change the way you cook.
 
 Ragùs are slow, meditative things, with a circus of vegetables and meats cut to …",https://food52.com/blog/25262-why-lyndsay-bettle-fennel-bacon-ragu-is-genius,https://images.food52.com/P4pI03pSIYZo-12h15GIAMpQhdA=/fit-in/1200x1200/4686f198-eebd-469d-a130-87a8946c481f--2020-0413_lyndsay-bettle-fennel-bacon-ragu-genius-final_3x2_james-ransom-086.jpg,2020-05-06T15:00:00Z,"Every week in Genius Recipesoften with your help!Food52 Creative Director and lifelong Genius-hunter Kristen Miglore is unearthing recipes that will change the way you cook.
Ragùs are slow, meditati… [+4042 chars]"
8,"{'id': None, 'name': 'Colossal'}",Grace Ebert,A Carnivalesque Short Film by Fernando Livschitz Imagines a Buoyant Vienna,"“Vienna is like…,” a new animated short by Fernando Livschitz (previously), brings a heavy dose of the absurd to the Austrian capital. The director, who’s from Argentina and heads Black Sheep Films, captures an imagined Vienna in which historic buildings floa…",https://www.thisiscolossal.com/2020/05/fernando-livschitz-vienna/,https://www.thisiscolossal.com/wp-content/uploads/2020/05/livschitz-og.jpg,2020-05-13T13:59:19Z,"“Vienna is like…,” a new animated short by Fernando Livschitz (previously), brings a heavy dose of the absurd to the Austrian capital. The director, who’s from Argentina and heads Black Sheep Films, … [+588 chars]"
9,"{'id': 'usa-today', 'name': 'USA Today'}","USA TODAY, Anika Reed, USA TODAY","'Leave It to Beaver' actor Ken Osmond, known for role as Eddie Haskell, dies at 76","Ken Osmond, best known for his role as troublemaker Eddie Haskell opposite Jerry Mathers on the TV series ""Leave It to Beaver,"" has died at 76.",https://www.usatoday.com/story/entertainment/celebrities/2020/05/18/ken-osmond-leave-it-to-beaver-eddie-haskell-dies/5214993002/,"https://www.gannett-cdn.com/presto/2020/05/18/USAT/334d5b47-e4ef-46e7-8cfd-7ac0bacc97e3-XXX_sd_Ken_Osmond_Leave_It_To_Beaver_50th_Anniversary_25090_.jp.JPG?crop=2289,1288,x0,y853&width=1600&height=800&fit=bounds",2020-05-18T18:54:56Z,"Ken Osmond, TV's Eddie Haskell on ""Leave It to Beaver,"" has died.
 (Photo: Damian Dovarganes, ASSOCIATED PRESS)
Ken Osmond, best known as Eddie Haskell on TV's ""Leave It to Beaver,"" has died at 76,… [+1391 chars]"
